Id,SalePrice
1461,125740.0
1462,156400.0
1463,189631.0
1464,198833.0
1465,184755.0
1466,170831.0
1467,173079.0
1468,165651.0
1469,186113.0
1470,127369.0
1471,187689.0
1472,96715.0
1473,97788.0
1474,147362.0
1475,111544.0
1476,367411.0
1477,244841.0
1478,287694.0
1479,263994.0
1480,579988.2000000001
1481,328975.0
1482,205457.0
1483,176342.0
1484,164206.0
1485,183537.0
1486,194393.0
1487,337685.0
1488,237049.0
1489,198149.0
1490,248650.0
1491,192183.0
1492,90799.0
1493,181768.0
1494,274493.0
1495,287713.0
1496,241529.0
1497,184241.0
1498,168839.0
1499,161826.0
1500,162603.0
1501,180545.0
1502,141384.0
1503,288369.0
1504,241800.0
1505,227942.0
1506,193959.0
1507,253357.0
1508,206474.0
1509,157710.0
1510,151213.0
1511,155164.0
1512,177008.0
1513,156411.0
1514,151836.0
1515,189735.0
1516,147056.0
1517,165669.0
1518,132519.0
1519,215181.0
1520,133572.0
1521,137040.0
1522,175858.0
1523,116811.0
1524,126680.0
1525,124917.0
1526,113558.0
1527,104863.0
1528,130296.0
1529,153750.0
1530,175155.0
1531,113405.0
1532,94404.0
1533,148758.0
1534,118131.0
1535,153850.0
1536,112556.0
1537,80878.0
1538,145003.0
1539,195029.0
1540,82582.0
1541,141379.0
1542,139968.0
1543,188052.0
1544,84757.0
1545,110309.0
1546,129991.0
1547,131582.0
1548,132998.0
1549,123064.0
1550,141855.0
1551,108602.0
1552,149451.0
1553,155293.0
1554,116694.0
1555,171963.0
1556,83712.0
1557,109344.0
1558,95063.0
1559,85694.0
1560,135233.0
1561,129825.0
1562,133046.0
1563,128586.0
1564,161544.0
1565,155732.0
1566,234941.0
1567,80173.0
1568,241664.0
1569,135637.0
1570,140202.0
1571,113293.0
1572,145960.0
1573,235027.0
1574,122574.0
1575,237886.0
1576,258624.0
1577,180479.0
1578,143473.0
1579,141004.0
1580,189300.0
1581,153748.0
1582,124040.0
1583,309808.0
1584,228350.0
1585,138642.0
1586,64054.0
1587,103115.0
1588,157103.0
1589,99460.0
1590,129535.0
1591,98632.0
1592,113661.0
1593,119313.0
1594,134343.0
1595,124357.0
1596,226186.0
1597,191046.0
1598,208406.0
1599,163318.0
1600,165453.0
1601,75027.0
1602,122979.0
1603,79039.0
1604,268126.0
1605,244545.0
1606,169772.0
1607,170029.0
1608,224738.0
1609,176436.0
1610,148415.0
1611,139151.0
1612,172652.0
1613,169536.0
1614,127252.0
1615,92642.0
1616,79712.0
1617,91280.0
1618,124915.0
1619,142851.0
1620,183687.0
1621,129815.0
1622,141879.0
1623,268781.0
1624,222873.0
1625,117567.0
1626,169109.0
1627,194752.0
1628,277574.0
1629,177157.0
1630,345756.0
1631,216472.0
1632,238518.0
1633,170557.0
1634,187308.0
1635,174283.0
1636,149027.0
1637,210879.0
1638,181915.0
1639,182307.0
1640,248027.0
1641,178496.0
1642,238472.0
1643,217303.0
1644,227728.0
1645,207716.0
1646,163388.0
1647,153322.0
1648,134481.0
1649,141146.0
1650,115786.0
1651,119813.0
1652,94800.0
1653,98792.0
1654,144125.0
1655,136583.0
1656,145263.0
1657,148858.0
1658,149649.0
1659,117051.0
1660,160167.0
1661,463102.0
1662,409682.0
1663,393666.0
1664,553591.5
1665,314753.0
1666,326852.0
1667,393674.0
1668,347334.0
1669,292193.0
1670,352212.0
1671,258420.0
1672,453519.0
1673,292482.0
1674,235426.0
1675,192066.0
1676,196755.0
1677,227344.0
1678,453287.0
1679,410730.0
1680,346565.0
1681,252730.0
1682,310017.0
1683,178542.0
1684,171989.0
1685,173107.0
1686,168544.0
1687,167406.0
1688,187630.0
1689,193856.0
1690,194089.0
1691,180616.0
1692,258719.0
1693,165366.0
1694,180253.0
1695,160004.0
1696,277852.0
1697,162969.0
1698,345637.0
1699,306797.0
1700,252665.0
1701,266649.0
1702,245821.0
1703,250861.0
1704,272496.0
1705,232141.0
1706,439235.0
1707,218940.0
1708,209932.0
1709,267650.0
1710,220465.0
1711,269096.0
1712,251819.0
1713,285945.0
1714,221902.0
1715,204920.0
1716,173460.0
1717,168465.0
1718,131916.0
1719,203188.0
1720,231158.0
1721,163263.0
1722,124578.0
1723,158560.0
1724,208292.0
1725,245703.0
1726,184351.0
1727,157200.0
1728,172016.0
1729,167452.0
1730,144375.0
1731,125191.0
1732,135321.0
